"id","pickone_no","created_at","updated_at","title","thumb","people","price","enabled","size","zipcode","county","district","address","address_info","brief","use_info","device_info","floor_plan","sort","lat","lng"
"18","1921","5/6/2017 08:42:30","15/11/2019 23:17:43","科技大樓 602","https://i.imgur.com/yRy5ZDJ.jpg","8","350","1","6","106","臺北市","大安區","復興南路二段200號6樓-602室","捷運科技大樓出口步行2分鐘，面對飲料店斜角巷右側200號入口進入。在復興南路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。(10/28 將進行整體改裝，暫不開放租借)",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。(10/28 將進行整體改裝，暫不開放租借)","https://i.imgur.com/HYTqhhq.png","99","25.0268351","121.5432387"
"19","1923","5/6/2017 08:42:30","15/11/2019 23:17:43","科技大樓 603","https://i.imgur.com/LBK9rPT.jpg","12","360","1","6","106","臺北市","大安區","復興南路二段200號6樓-603室","捷運科技大樓出口步行2分鐘，面對飲料店斜角巷右側200號入口進入。在復興南路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。(10/28 將進行整體改裝，暫不開放租借)",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。(10/28 將進行整體改裝，暫不開放租借)","https://i.imgur.com/6Jn64eF.png","100","25.0268351","121.5432387"
"20","1924","5/6/2017 08:42:30","15/11/2019 23:17:43","科技大樓 604","//i.imgur.com/ywzDjEE.jpg","6","220","1","3","106","臺北市","大安區","復興南路二段200號6樓-604室","捷運科技大樓出口步行2分鐘，面對飲料店斜角巷右側200號入口進入。在復興南路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。(10/28 將進行整體改裝，暫不開放租借)",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。(10/28 將進行整體改裝，暫不開放租借)","https://i.imgur.com/GOlfIbl.png","101","25.0268351","121.5432387"
"21","1925","5/6/2017 08:42:30","15/11/2019 23:17:43","科技大樓 605","https://i.imgur.com/x8tC2Oh.jpg","10","360","1","6","106","臺北市","大安區","復興南路二段200號6樓-605室","捷運科技大樓出口步行2分鐘，面對飲料店斜角巷右側200號入口進入。在復興南路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。(10/28 將進行整體改裝，暫不開放租借)",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。(10/28 將進行整體改裝，暫不開放租借)","https://i.imgur.com/GkFr6m3.png","102","25.0268351","121.5432387"
"22","2012","11/7/2017 06:23:43","15/11/2019 23:17:43","京站 601","//i.imgur.com/orRSgKE.jpg","15","460","1","10","104","臺北市","中山區","中山北路一段66號6樓-601室","鄰近台北車站，中山地下街R1出入口出來，步行約2～3分鐘。（場地位於舊式公寓中，夜間大門將上鎖，通行方式請參閱信件說明）","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","《禁止唱歌、跳舞、派對活動，如影響鄰居安寧，須自負法律責任。》","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/kURv7d0.png","103","25.0486715","121.520779"
"23","2011","11/7/2017 06:23:43","15/11/2019 23:17:43","京站 602","//i.imgur.com/6fwgxMp.jpg","2","120","1","1","104","臺北市","中山區","中山北路一段66號6樓-602室","鄰近台北車站，中山地下街R1出入口出來，步行約2～3分鐘。（場地位於舊式公寓中，夜間大門將上鎖，通行方式請參閱信件說明）","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","《禁止唱歌、跳舞、派對活動，如影響鄰居安寧，須自負法律責任。》","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/hB8RiiO.png","104","25.0486715","121.520779"
"24","2013","11/7/2017 06:23:43","15/11/2019 23:17:43","京站 603","//i.imgur.com/IXdWW13.jpg","8","350","1","5","104","臺北市","中山區","中山北路一段66號6樓-603室","鄰近台北車站，中山地下街R1出入口出來，步行約2～3分鐘。（場地位於舊式公寓中，夜間大門將上鎖，通行方式請參閱信件說明）","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","《禁止唱歌、跳舞、派對活動，如影響鄰居安寧，須自負法律責任。》","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/6t0CxNt.png","105","25.0486715","121.520779"
"25","2014","11/7/2017 06:23:43","15/11/2019 23:17:43","京站 604","//i.imgur.com/1vf3hlz.jpg","18","450","1","9","104","臺北市","中山區","中山北路一段66號6樓-604室","鄰近台北車站，中山地下街R1出入口出來，步行約2～3分鐘。（場地位於舊式公寓中，夜間大門將上鎖，通行方式請參閱信件說明）","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","《禁止唱歌、跳舞、派對活動，如影響鄰居安寧，須自負法律責任。》","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/5LBsH45.png","106","25.0486715","121.520779"
"31","2100","31/7/2017 10:27:13","23/4/2019 01:21:04","大安信義 1101","//i.imgur.com/qRrQjrG.jpg","16","450","0","10","106","臺北市","大安區","信義路四段24號11樓之1","捷運大安站4號出口出來右轉，往鬍鬚張走不用1分鐘就到了！","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且需使用者簽名及寄押證件以領取場地證、磁扣。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且須需使用者簽名及寄押證件以領取場地證、磁扣。","https://i.imgur.com/nQ0lC4v.png","0","25.0331768","121.5444964"
"41","2115","2/8/2017 17:11:04","23/4/2019 01:21:04","大安信義 1102","//i.imgur.com/LUzNnn3.jpg","9","250","0","4","106","臺北市","大安區","信義路四段24號11樓之1","捷運大安站4號出口出來右轉，往鬍鬚張走不用1分鐘就到了！","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且需使用者簽名及寄押證件以領取場地證、磁扣。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且需使用者簽名及寄押證件以領取場地證、磁扣。","https://i.imgur.com/5UkT6JW.png","0","25.0331768","121.5444964"
"51","2116","2/8/2017 17:21:45","23/4/2019 01:21:04","大安信義 1103","//i.imgur.com/dhRXoRk.jpg","6","230","0","3","106","臺北市","大安區","信義路四段24號11樓之1","捷運大安站4號出口出來右轉，往鬍鬚張走不用1分鐘就到了！","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且需使用者簽名及寄押證件以領取場地證、磁扣。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。
※為配合本大樓進出管理，所有住戶及訪客搭乘電梯時皆需使用專用磁扣，僅提供1組磁扣，且需使用者簽名及寄押證件以領取場地證、磁扣。","https://i.imgur.com/UxqzZTs.png","0","25.0331768","121.5444964"
"61","1234","14/8/2017 15:00:32","23/4/2019 01:21:05","test","https://i.imgur.com/CzQiMSb.jpg","12","300","0","1","201","基隆市","信義區","民生東路5段226之1號5樓","123","123","123","123",,"0","25.0588991","121.5656015"
"62","2136","17/8/2017 14:57:03","15/11/2019 23:17:43","慶城南京 A","https://i.imgur.com/BE93HbT.jpg","10","380","1","5","105","臺北市","松山區","慶城街6-1號7樓-A室","捷運南京復興站7號出口，走路約30秒，位在全家便利商店旁的「希爾頓大廈7樓」。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/NtdkRLm.png","107","25.0526598","121.544829"
"63","2137","17/8/2017 15:06:51","15/11/2019 23:17:43","慶城南京 B","//i.imgur.com/DiV47tH.jpg","10","320","1","6","105","臺北市","松山區","慶城街6-1號7樓-B室","捷運南京復興站7號出口，走路約30秒，位在全家便利商店旁的「希爾頓大廈7樓」。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/1I305mh.png","108","25.0526598","121.544829"
"64","2138","17/8/2017 15:22:10","15/11/2019 23:17:43","慶城南京 C","//i.imgur.com/qtv3JuD.jpg","12","370","1","8","105","臺北市","松山區","慶城街6-1號7樓-C室","捷運南京復興站7號出口，走路約30秒，位在全家便利商店旁的「希爾頓大廈7樓」。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。投影布幕位於白板那一面牆。","https://i.imgur.com/Z5XfZUe.png","109","25.0526598","121.544829"
"65","2139","17/8/2017 15:27:54","15/11/2019 23:17:43","慶城南京 D","//i.imgur.com/al3rqiT.jpg","10","350","1","7","105","臺北市","松山區","慶城街6-1號7樓-D室","捷運南京復興站 7 號出口，走路約30秒，位在全家便利商店旁的「希爾頓大廈7樓」。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/FDWbfIc.png","110","25.0526598","121.544829"
"66","2183","25/8/2017 01:17:43","15/11/2019 23:17:43","中山國中 401","https://i.imgur.com/qz9dgYo.jpg","12","400","1","9","104","臺北市","中山區","復興北路342號4樓-401室","捷運中山國中站出來往錦州街方向走，步行約2分鐘即可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/pIkxs9b.png","65","25.059776","121.5439548"
"67","2184","25/8/2017 01:20:28","15/11/2019 23:17:43","中山國中 402","//i.imgur.com/A36R4qy.jpg","10","330","1","7","104","臺北市","中山區","復興北路342號4樓-402室","捷運中山國中站出來往錦州街方向走，步行約2分鐘即可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/rCTaD63.png","66","25.059776","121.5439548"
"68","2185","25/8/2017 01:22:20","15/11/2019 23:17:43","中山國中 403","https://i.imgur.com/5vR79gr.jpg","12","370","1","8","104","臺北市","中山區","復興北路342號4樓-403室","捷運中山國中站出來往錦州街方向走，步行約2分鐘即可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/XYcpFF9.png","67","25.059776","121.5439548"
"69","2186","25/8/2017 01:24:23","15/11/2019 23:17:43","中山國中 404","//i.imgur.com/Dj83bie.jpg","10","320","1","6","104","臺北市","中山區","復興北路342號4樓-404室","捷運中山國中站出來往錦州街方向走，步行約2分鐘即可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","入內請脫鞋，並保持坐墊整潔。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/9KTSK7d.png","68","25.059776","121.5439548"
"70","2213","4/9/2017 18:23:56","15/11/2019 23:17:43","南京三民 A","https://i.imgur.com/u4UHrVp.jpg","6","240","1","4","105","臺北市","松山區","南京東路五段168號4樓-A室","捷運南京三民站2號出口出來迴轉，步行約1分鐘，位在肯德基旁。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/NwH5Xzy.png","79","25.0512742","121.5632822"
"71","2214","4/9/2017 18:28:34","15/11/2019 23:17:43","南京三民 B","https://i.imgur.com/AWlcBfN.jpg","12","370","1","6","105","臺北市","松山區","南京東路五段168號4樓-B室","捷運南京三民站2號出口出來迴轉，步行約1分鐘，位在肯德基旁。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維持鄰居環境安寧","https://i.imgur.com/zYttpXx.png","80","25.0512742","121.5632822"
"72","2215","4/9/2017 18:31:47","15/11/2019 23:17:43","南京三民 C","https://i.imgur.com/ZjQ8Gb9.jpg","6","230","1","4","105","臺北市","松山區","南京東路五段168號4樓-C室","捷運南京三民站2號出口出來迴轉，步行約1分鐘，位在肯德基旁。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/ytvbeRx.png","81","25.0512742","121.5632822"
"73","2216","4/9/2017 19:15:46","15/11/2019 23:17:43","南京三民 E","https://i.imgur.com/pwMnbcQ.jpg","12","300","1","6","105","臺北市","松山區","南京東路五段168號4樓-E室","捷運南京三民站2號出口出來迴轉，步行約1分鐘，位在肯德基旁。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/LE1BvHz.png","83","25.0512742","121.5632822"
"74","2217","4/9/2017 19:20:25","15/11/2019 23:17:43","南京三民 D","https://i.imgur.com/Wt3MMNQ.jpg","10","350","1","6","105","臺北市","松山區","南京東路五段168號4樓-D室","捷運南京三民站2號出口出來迴轉，步行約1分鐘，位在肯德基旁。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/VIAuUYN.png","82","25.0512742","121.5632822"
